snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-06-02T22:21:19.163071+00:00,Jul26,48.035,-2.1491138724791337,76520,06/02/2026 08:57 PM GMT,1785470400000,6243134
2026-06-02T22:21:19.163071+00:00,Aug26,48.1,-1.946794414432776,20809,06/02/2026 08:49 PM GMT,1788148800000,6277386
2026-06-02T22:21:19.163071+00:00,Sep26,48.13,-1.7434264249550857,11430,06/02/2026 08:57 PM GMT,1790740800000,6277387
2026-06-02T22:21:19.163071+00:00,Oct26,47.805,-1.5649130031915948,13730,06/02/2026 07:48 PM GMT,1793419200000,6277388
2026-06-02T22:21:19.163071+00:00,Nov26,46.855,-1.1560449760563716,10305,06/02/2026 07:54 PM GMT,1796014800000,6277389
2026-06-02T22:21:19.163071+00:00,Dec26,46.625,-0.9958805792670005,10315,06/02/2026 07:54 PM GMT,1798693200000,6277390
2026-06-02T22:21:19.163071+00:00,Jan27,46.17,-0.9758713136729186,8585,06/02/2026 07:54 PM GMT,1801371600000,6277391
2026-06-02T22:21:19.163071+00:00,Feb27,45.41,-0.9077816086937632,7160,06/02/2026 06:51 PM GMT,1803790800000,6277392
2026-06-02T22:21:19.163071+00:00,Mar27,43.135,-1.5677057185888472,6575,06/02/2026 07:06 PM GMT,1806465600000,6277393
2026-06-02T22:21:19.163071+00:00,Apr27,37.15,-0.6764163302408901,2840,06/02/2026 05:19 PM GMT,1809057600000,6277394
2026-06-02T22:21:19.163071+00:00,May27,34.59,-1.3630660431162156,3235,06/02/2026 03:10 PM GMT,1811736000000,6277395
2026-06-02T22:21:19.163071+00:00,Jun27,34.05,-1.1266624078053464,2645,06/02/2026 02:36 PM GMT,1814328000000,6277396
2026-06-02T22:21:19.163071+00:00,Aug27,34.0,-1.1254253060749715,1940,06/02/2026 09:31 AM GMT,1819684800000,6277398
2026-06-02T22:21:19.163071+00:00,Cal 27,37.025,0.0,505,06/02/2026 03:55 PM GMT,1830229200000,6277413
2026-06-02T22:21:19.163071+00:00,Apr28,27.6,-0.5405405405405355,175,06/02/2026 12:47 PM GMT,1840680000000,6366955
2026-06-02T22:21:19.163071+00:00,Cal 28,28.075,0.0,70,06/02/2026 03:58 PM GMT,1861851600000,6560239
2026-06-02T22:21:19.163071+00:00,Cal 29,24.15,0.0,25,06/02/2026 03:10 PM GMT,1893387600000,6709888
2026-06-02T22:21:19.163071+00:00,Cal 30,22.325,0.0,5,06/02/2026 03:16 PM GMT,1924923600000,6709889
