snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-08-01T20:49:12.989505+00:00,Sep26,59.65,0.9801763978940607,91515,07/31/2026 08:58 PM GMT,1790740800000,6277387
2026-08-01T20:49:12.989505+00:00,Oct26,59.68,1.090859814350563,28555,07/31/2026 08:58 PM GMT,1793419200000,6277388
2026-08-01T20:49:12.989505+00:00,Nov26,58.7,0.7846436481637291,16620,07/31/2026 08:53 PM GMT,1796014800000,6277389
2026-08-01T20:49:12.989505+00:00,Dec26,58.3,0.9716136406934653,11595,07/31/2026 08:53 PM GMT,1798693200000,6277390
2026-08-01T20:49:12.989505+00:00,Jan27,57.005,-0.10514325768859226,12860,07/31/2026 06:38 PM GMT,1801371600000,6277391
2026-08-01T20:49:12.989505+00:00,Feb27,56.1,1.0501287893798268,11990,07/31/2026 08:53 PM GMT,1803790800000,6277392
2026-08-01T20:49:12.989505+00:00,Mar27,51.375,0.20675261854142202,11620,07/31/2026 06:48 PM GMT,1806465600000,6277393
2026-08-01T20:49:12.989505+00:00,Apr27,42.95,0.17259072674691012,8505,07/31/2026 06:28 PM GMT,1809057600000,6277394
2026-08-01T20:49:12.989505+00:00,May27,38.4,0.01823249029770504,5750,07/31/2026 03:14 PM GMT,1811736000000,6277395
2026-08-01T20:49:12.989505+00:00,Jun27,37.38,-0.11490260000534233,5295,07/31/2026 02:53 PM GMT,1814328000000,6277396
2026-08-01T20:49:12.989505+00:00,Sep27,36.95,-0.1486285637076063,4075,07/31/2026 02:32 PM GMT,1822276800000,6277399
2026-08-01T20:49:12.989505+00:00,Oct27,36.95,0.23872822961315437,3800,07/31/2026 02:37 PM GMT,1824955200000,6277400
2026-08-01T20:49:12.989505+00:00,Cal 27,41.905,0.0,1260,07/31/2026 06:20 PM GMT,1830229200000,6277413
2026-08-01T20:49:12.989505+00:00,Cal 28,29.3,0.0,160,07/31/2026 03:54 PM GMT,1861851600000,6560239
2026-08-01T20:49:12.989505+00:00,Cal 29,25.3,0.0,105,07/31/2026 08:58 PM GMT,1893387600000,6709888
2026-08-01T20:49:12.989505+00:00,Cal 30,23.35,0.0,40,07/31/2026 02:42 PM GMT,1924923600000,6709889
