snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-08-18T20:20:04.634202+00:00,Sep26,64.135,3.8505756432469314,92618,08/18/2026 08:07 PM GMT,1790740800000,6277387
2026-08-18T20:20:04.634202+00:00,Oct26,64.255,3.829684091459962,45439,08/18/2026 08:04 PM GMT,1793419200000,6277388
2026-08-18T20:20:04.634202+00:00,Nov26,64.115,3.89726138389239,25395,08/18/2026 08:06 PM GMT,1796014800000,6277389
2026-08-18T20:20:04.634202+00:00,Dec26,64.01,4.171074259117617,13185,08/18/2026 08:03 PM GMT,1798693200000,6277390
2026-08-18T20:20:04.634202+00:00,Jan27,63.75,4.2416116161946515,12935,08/18/2026 07:59 PM GMT,1801371600000,6277391
2026-08-18T20:20:04.634202+00:00,Feb27,62.8,4.635276083841508,11225,08/18/2026 07:50 PM GMT,1803790800000,6277392
2026-08-18T20:20:04.634202+00:00,Mar27,58.325,5.634440540442649,12255,08/18/2026 07:31 PM GMT,1806465600000,6277393
2026-08-18T20:20:04.634202+00:00,Apr27,45.805,2.9742367699294108,7155,08/18/2026 06:40 PM GMT,1809057600000,6277394
2026-08-18T20:20:04.634202+00:00,May27,40.75,2.8546909311189084,4870,08/18/2026 03:49 PM GMT,1811736000000,6277395
2026-08-18T20:20:04.634202+00:00,Jun27,40.25,3.566282420749287,3685,08/18/2026 07:44 PM GMT,1814328000000,6277396
2026-08-18T20:20:04.634202+00:00,Jul27,39.175,1.4134458567397536,2605,08/18/2026 02:05 PM GMT,1817006400000,6277397
2026-08-18T20:20:04.634202+00:00,Aug27,38.8,0.6772360466021321,2600,08/18/2026 06:43 AM GMT,1819684800000,6277398
2026-08-18T20:20:04.634202+00:00,Nov27,39.275,2.787228474221402,1920,08/18/2026 03:00 PM GMT,1827550800000,6277401
2026-08-18T20:20:04.634202+00:00,Cal 27,45.41,0.0,270,08/18/2026 03:26 PM GMT,1830229200000,6277413
2026-08-18T20:20:04.634202+00:00,Cal 28,31.25,0.0,250,08/18/2026 03:44 PM GMT,1861851600000,6560239
2026-08-18T20:20:04.634202+00:00,Cal 29,25.93,0.0,165,08/18/2026 03:40 PM GMT,1893387600000,6709888
2026-08-18T20:20:04.634202+00:00,Cal 30,23.75,0.0,20,08/18/2026 02:48 PM GMT,1924923600000,6709889
2026-08-18T20:20:04.634202+00:00,Cal 31,23.1,0.0,25,08/18/2026 03:05 PM GMT,1956459600000,6709890
