snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-03-23T20:36:33.137416+00:00,Apr26,56.03,-5.442578685343011,168280,03/23/2026 04:59 PM GMT,1777521600000,6164787
2026-03-23T20:36:33.137416+00:00,May26,56.305,-5.119390661072079,95970,03/23/2026 04:59 PM GMT,1780200000000,6187520
2026-03-23T20:36:33.137416+00:00,Jun26,56.385,-4.92369951943344,62345,03/23/2026 04:59 PM GMT,1782792000000,6214891
2026-03-23T20:36:33.137416+00:00,Jul26,56.59,-4.40555424169735,42690,03/23/2026 04:56 PM GMT,1785470400000,6243134
2026-03-23T20:36:33.137416+00:00,Aug26,56.375,-4.496095139677113,37480,03/23/2026 04:58 PM GMT,1788148800000,6277386
2026-03-23T20:36:33.137416+00:00,Sep26,56.405,-4.320464106391635,36500,03/23/2026 04:58 PM GMT,1790740800000,6277387
2026-03-23T20:36:33.137416+00:00,Oct26,56.555,-3.726338008988152,38735,03/23/2026 04:56 PM GMT,1793419200000,6277388
2026-03-23T20:36:33.137416+00:00,Nov26,56.72,-3.198279687340005,32725,03/23/2026 04:56 PM GMT,1796014800000,6277389
2026-03-23T20:36:33.137416+00:00,Dec26,56.745,-3.0828351836037573,35890,03/23/2026 04:56 PM GMT,1798693200000,6277390
2026-03-23T20:36:33.137416+00:00,Jan27,57.105,-2.1336760925449947,29175,03/23/2026 04:33 PM GMT,1801371600000,6277391
2026-03-23T20:36:33.137416+00:00,Feb27,54.9,-4.851037279675557,28375,03/23/2026 03:35 PM GMT,1803790800000,6277392
2026-03-23T20:36:33.137416+00:00,Mar27,53.73,-1.2025595763459904,27775,03/23/2026 04:14 PM GMT,1806465600000,6277393
2026-03-23T20:36:33.137416+00:00,Apr27,46.15,-1.1247991430101738,11815,03/23/2026 04:56 PM GMT,1809057600000,6277394
2026-03-23T20:36:33.137416+00:00,May27,43.15,0.2788752033464965,11540,03/23/2026 04:41 PM GMT,1811736000000,6277395
2026-03-23T20:36:33.137416+00:00,Jun27,41.2,-1.4872555114533017,11260,03/23/2026 03:13 PM GMT,1814328000000,6277396
2026-03-23T20:36:33.137416+00:00,Jul27,41.9,0.9516925671605734,10115,03/23/2026 02:40 PM GMT,1817006400000,6277397
2026-03-23T20:36:33.137416+00:00,Oct27,41.9,2.7943377247859367,6935,03/23/2026 11:46 AM GMT,1824955200000,6277400
2026-03-23T20:36:33.137416+00:00,Cal 27,44.955,0.0,2080,03/23/2026 04:58 PM GMT,1830229200000,6277413
2026-03-23T20:36:33.137416+00:00,Dec27,44.3,8.40307345959966,7110,03/23/2026 10:09 AM GMT,1830229200000,6277402
2026-03-23T20:36:33.137416+00:00,Cal 28,32.19,0.0,1640,03/23/2026 04:56 PM GMT,1861851600000,6560239
2026-03-23T20:36:33.137416+00:00,Cal 29,25.2,0.0,760,03/23/2026 04:40 PM GMT,1893387600000,6709888
2026-03-23T20:36:33.137416+00:00,Cal 30,23.1,0.0,95,03/23/2026 04:05 PM GMT,1924923600000,6709889
2026-03-23T20:36:33.137416+00:00,Cal 31,23.0,0.0,40,03/23/2026 04:05 PM GMT,1956459600000,6709890
