snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-07-21T21:05:58.436199+00:00,Aug26,59.785,1.7755609274454383,94600,07/21/2026 08:51 PM GMT,1788148800000,6277386
2026-07-21T21:05:58.436199+00:00,Sep26,59.805,1.759371118408737,40851,07/21/2026 08:49 PM GMT,1790740800000,6277387
2026-07-21T21:05:58.436199+00:00,Oct26,59.705,1.8509041282838636,26730,07/21/2026 08:49 PM GMT,1793419200000,6277388
2026-07-21T21:05:58.436199+00:00,Nov26,58.815,1.7366937088097383,16800,07/21/2026 08:35 PM GMT,1796014800000,6277389
2026-07-21T21:05:58.436199+00:00,Dec26,58.455,1.7263282460017704,14230,07/21/2026 08:35 PM GMT,1798693200000,6277390
2026-07-21T21:05:58.436199+00:00,Jan27,57.91,1.680332906080441,13405,07/21/2026 05:21 PM GMT,1801371600000,6277391
2026-07-21T21:05:58.436199+00:00,Feb27,56.07,1.0980689132904236,10995,07/21/2026 04:39 PM GMT,1803790800000,6277392
2026-07-21T21:05:58.436199+00:00,Mar27,51.95,0.5886225457925145,11160,07/21/2026 04:19 PM GMT,1806465600000,6277393
2026-07-21T21:05:58.436199+00:00,Apr27,43.47,0.6436377106871612,6435,07/21/2026 04:27 PM GMT,1809057600000,6277394
2026-07-21T21:05:58.436199+00:00,May27,39.315,0.4933285619344559,5005,07/21/2026 02:35 PM GMT,1811736000000,6277395
2026-07-21T21:05:58.436199+00:00,Jun27,38.4,0.4919920443839508,4055,07/21/2026 12:43 PM GMT,1814328000000,6277396
2026-07-21T21:05:58.436199+00:00,Jul27,37.75,-0.04236614944658751,3270,07/21/2026 10:04 AM GMT,1817006400000,6277397
2026-07-21T21:05:58.436199+00:00,Aug27,37.85,0.5579171094580256,3435,07/21/2026 03:05 PM GMT,1819684800000,6277398
2026-07-21T21:05:58.436199+00:00,Sep27,37.575,0.38738979428266934,3370,07/21/2026 01:34 PM GMT,1822276800000,6277399
2026-07-21T21:05:58.436199+00:00,Oct27,37.2,0.21281754263085753,2770,07/21/2026 01:51 PM GMT,1824955200000,6277400
2026-07-21T21:05:58.436199+00:00,Nov27,36.83,-0.15181911836470338,2445,07/21/2026 01:43 PM GMT,1827550800000,6277401
2026-07-21T21:05:58.436199+00:00,Cal 27,42.43,0.0,555,07/21/2026 03:53 PM GMT,1830229200000,6277413
2026-07-21T21:05:58.436199+00:00,Dec27,36.9,0.07865259960401497,2570,07/21/2026 01:54 PM GMT,1830229200000,6277402
2026-07-21T21:05:58.436199+00:00,Cal 28,29.38,0.0,435,07/21/2026 03:33 PM GMT,1861851600000,6560239
2026-07-21T21:05:58.436199+00:00,Cal 29,24.91,0.0,100,07/21/2026 03:14 PM GMT,1893387600000,6709888
2026-07-21T21:05:58.436199+00:00,Cal 30,22.95,0.0,60,07/21/2026 03:14 PM GMT,1924923600000,6709889
