snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-06-11T22:01:48.390471+00:00,Jul26,47.0,-5.979315449398863,97655,06/11/2026 08:59 PM GMT,1785470400000,6243134
2026-06-11T22:01:48.390471+00:00,Aug26,47.105,-5.910434643656126,36410,06/11/2026 08:57 PM GMT,1788148800000,6277386
2026-06-11T22:01:48.390471+00:00,Sep26,47.19,-5.936054855684903,25715,06/11/2026 08:57 PM GMT,1790740800000,6277387
2026-06-11T22:01:48.390471+00:00,Oct26,46.83,-6.362473006478449,18535,06/11/2026 08:35 PM GMT,1793419200000,6277388
2026-06-11T22:01:48.390471+00:00,Nov26,46.325,-6.087820304897827,15270,06/11/2026 08:36 PM GMT,1796014800000,6277389
2026-06-11T22:01:48.390471+00:00,Dec26,46.295,-5.868119802362693,17130,06/11/2026 08:39 PM GMT,1798693200000,6277390
2026-06-11T22:01:48.390471+00:00,Jan27,46.0,-5.6197295800077915,15355,06/11/2026 08:35 PM GMT,1801371600000,6277391
2026-06-11T22:01:48.390471+00:00,Feb27,45.45,-5.146506386175796,11895,06/11/2026 08:35 PM GMT,1803790800000,6277392
2026-06-11T22:01:48.390471+00:00,Mar27,45.54,0.20022442738014276,11445,06/11/2026 05:12 PM GMT,1806465600000,6277393
2026-06-11T22:01:48.390471+00:00,Apr27,38.4,1.0340200489383553,6220,06/11/2026 03:15 PM GMT,1809057600000,6277394
2026-06-11T22:01:48.390471+00:00,May27,35.9,1.5788580159583494,5230,06/11/2026 12:25 PM GMT,1811736000000,6277395
2026-06-11T22:01:48.390471+00:00,Aug27,34.75,0.5730493169715224,3930,06/11/2026 03:09 PM GMT,1819684800000,6277398
2026-06-11T22:01:48.390471+00:00,Oct27,34.1,-0.4524886877828087,2595,06/11/2026 12:12 PM GMT,1824955200000,6277400
2026-06-11T22:01:48.390471+00:00,Cal 27,36.5,0.0,625,06/11/2026 08:35 PM GMT,1830229200000,6277413
2026-06-11T22:01:48.390471+00:00,Cal 28,27.6,0.0,565,06/11/2026 08:48 PM GMT,1861851600000,6560239
2026-06-11T22:01:48.390471+00:00,Cal 29,24.0,0.0,165,06/11/2026 07:57 PM GMT,1893387600000,6709888
2026-06-11T22:01:48.390471+00:00,Cal 30,22.3,0.0,35,06/11/2026 08:32 PM GMT,1924923600000,6709889
2026-06-11T22:01:48.390471+00:00,Cal 31,22.39,0.0,20,06/11/2026 02:18 PM GMT,1956459600000,6709890
