snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-08-07T00:51:27.741898+00:00,Sep26,58.5,11.632699793908856,110232,08/07/2026 12:34 AM GMT,1790740800000,6277387
2026-08-07T00:51:27.741898+00:00,Oct26,58.625,11.56041864890581,35367,08/06/2026 08:56 PM GMT,1793419200000,6277388
2026-08-07T00:51:27.741898+00:00,Nov26,58.0,11.322239496362835,22928,08/06/2026 08:59 PM GMT,1796014800000,6277389
2026-08-07T00:51:27.741898+00:00,Dec26,57.61,11.250579329522633,16221,08/06/2026 08:21 PM GMT,1798693200000,6277390
2026-08-07T00:51:27.741898+00:00,Jan27,57.005,10.94136192904268,13580,08/06/2026 08:24 PM GMT,1801371600000,6277391
2026-08-07T00:51:27.741898+00:00,Feb27,55.29,9.927033421476434,11345,08/06/2026 07:57 PM GMT,1803790800000,6277392
2026-08-07T00:51:27.741898+00:00,Mar27,50.685,8.957822778279379,9875,08/06/2026 07:58 PM GMT,1806465600000,6277393
2026-08-07T00:51:27.741898+00:00,Apr27,42.4,6.932990340722794,6290,08/06/2026 04:42 PM GMT,1809057600000,6277394
2026-08-07T00:51:27.741898+00:00,May27,37.725,5.374151560012288,5290,08/06/2026 05:19 PM GMT,1811736000000,6277395
2026-08-07T00:51:27.741898+00:00,Jun27,36.85,5.24061116664287,5195,08/06/2026 05:27 PM GMT,1814328000000,6277396
2026-08-07T00:51:27.741898+00:00,Jul27,36.475,4.831292751623857,4300,08/06/2026 04:15 PM GMT,1817006400000,6277397
2026-08-07T00:51:27.741898+00:00,Aug27,36.275,4.547943626250095,3960,08/06/2026 03:19 PM GMT,1819684800000,6277398
2026-08-07T00:51:27.741898+00:00,Sep27,36.42,4.664195189240465,4005,08/06/2026 03:19 PM GMT,1822276800000,6277399
2026-08-07T00:51:27.741898+00:00,Oct27,35.45,2.3176609807487067,3725,08/06/2026 11:23 AM GMT,1824955200000,6277400
2026-08-07T00:51:27.741898+00:00,Nov27,36.0,4.097388890495335,3735,08/06/2026 06:28 PM GMT,1827550800000,6277401
2026-08-07T00:51:27.741898+00:00,Cal 27,41.775,0.0,610,08/06/2026 07:24 PM GMT,1830229200000,6277413
2026-08-07T00:51:27.741898+00:00,Dec27,35.85,3.552859618717516,3825,08/06/2026 03:37 PM GMT,1830229200000,6277402
2026-08-07T00:51:27.741898+00:00,Cal 28,29.4,0.0,405,08/06/2026 04:15 PM GMT,1861851600000,6560239
2026-08-07T00:51:27.741898+00:00,Cal 29,25.28,0.0,120,08/06/2026 04:14 PM GMT,1893387600000,6709888
2026-08-07T00:51:27.741898+00:00,Cal 30,23.4,0.0,45,08/06/2026 05:15 PM GMT,1924923600000,6709889
