snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-04-17T20:41:40.935069+00:00,May26,39.445,-7.017585215218512,106780,04/17/2026 08:21 PM GMT,1780200000000,6187520
2026-04-17T20:41:40.935069+00:00,Jun26,39.37,-7.060739831448738,47059,04/17/2026 08:22 PM GMT,1782792000000,6214891
2026-04-17T20:41:40.935069+00:00,Jul26,39.375,-7.0116191195919155,35200,04/17/2026 08:21 PM GMT,1785470400000,6243134
2026-04-17T20:41:40.935069+00:00,Aug26,39.19,-7.391653669833168,25975,04/17/2026 08:05 PM GMT,1788148800000,6277386
2026-04-17T20:41:40.935069+00:00,Sep26,39.205,-7.445879270048875,23695,04/17/2026 06:28 PM GMT,1790740800000,6277387
2026-04-17T20:41:40.935069+00:00,Oct26,39.0,-7.6070218663381555,23775,04/17/2026 06:25 PM GMT,1793419200000,6277388
2026-04-17T20:41:40.935069+00:00,Nov26,39.115,-6.7447072286858685,22450,04/17/2026 06:14 PM GMT,1796014800000,6277389
2026-04-17T20:41:40.935069+00:00,Dec26,39.195,-6.722989052831991,22900,04/17/2026 06:14 PM GMT,1798693200000,6277390
2026-04-17T20:41:40.935069+00:00,Jan27,39.035,-6.806570214391457,18590,04/17/2026 04:03 PM GMT,1801371600000,6277391
2026-04-17T20:41:40.935069+00:00,Feb27,38.44,-7.37349397590362,16230,04/17/2026 03:35 PM GMT,1803790800000,6277392
2026-04-17T20:41:40.935069+00:00,Mar27,37.6,-5.693503887634804,16860,04/17/2026 05:24 PM GMT,1806465600000,6277393
2026-04-17T20:41:40.935069+00:00,Apr27,33.22,-5.830994699095734,9180,04/17/2026 03:25 PM GMT,1809057600000,6277394
2026-04-17T20:41:40.935069+00:00,May27,32.025,-4.97596581805234,8010,04/17/2026 03:12 PM GMT,1811736000000,6277395
2026-04-17T20:41:40.935069+00:00,Jun27,31.6,-4.277232521507328,7265,04/17/2026 03:22 PM GMT,1814328000000,6277396
2026-04-17T20:41:40.935069+00:00,Sep27,31.45,-4.27345224325805,5780,04/17/2026 12:48 PM GMT,1822276800000,6277399
2026-04-17T20:41:40.935069+00:00,Oct27,32.13,-1.7851684294185857,4685,04/17/2026 09:50 AM GMT,1824955200000,6277400
2026-04-17T20:41:40.935069+00:00,Nov27,31.98,-1.6574925428211136,4665,04/17/2026 12:08 PM GMT,1827550800000,6277401
2026-04-17T20:41:40.935069+00:00,Cal 27,33.04,0.0,1490,04/17/2026 05:59 PM GMT,1830229200000,6277413
2026-04-17T20:41:40.935069+00:00,Dec27,31.5,-4.455700809851682,4705,04/17/2026 02:25 PM GMT,1830229200000,6277402
2026-04-17T20:41:40.935069+00:00,Jan28,31.33,-4.881899326006448,3665,04/17/2026 12:50 PM GMT,1832907600000,6282871
2026-04-17T20:41:40.935069+00:00,Cal 28,26.55,0.0,690,04/17/2026 03:53 PM GMT,1861851600000,6560239
2026-04-17T20:41:40.935069+00:00,Cal 29,23.5,0.0,320,04/17/2026 04:14 PM GMT,1893387600000,6709888
2026-04-17T20:41:40.935069+00:00,Cal 30,22.6,0.0,50,04/17/2026 03:36 PM GMT,1924923600000,6709889
2026-04-17T20:41:40.935069+00:00,Cal 31,22.65,0.0,5,04/17/2026 11:52 AM GMT,1956459600000,6709890
