snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-03-10T11:45:07.611034+00:00,Apr26,48.05,-14.884948541264425,65615,03/10/2026 11:34 AM GMT,1777521600000,6164787
2026-03-10T11:45:07.611034+00:00,May26,47.465,-14.460523707401457,32155,03/10/2026 11:34 AM GMT,1780200000000,6187520
2026-03-10T11:45:07.611034+00:00,Jun26,46.865,-13.963393365276927,20410,03/10/2026 11:33 AM GMT,1782792000000,6214891
2026-03-10T11:45:07.611034+00:00,Jul26,45.99,-13.852205675751607,15355,03/10/2026 11:33 AM GMT,1785470400000,6243134
2026-03-10T11:45:07.611034+00:00,Aug26,45.365,-13.784256338135238,16745,03/10/2026 11:33 AM GMT,1788148800000,6277386
2026-03-10T11:45:07.611034+00:00,Sep26,45.17,-13.41435362674436,14710,03/10/2026 11:33 AM GMT,1790740800000,6277387
2026-03-10T11:45:07.611034+00:00,Oct26,45.29,-12.668723486309295,9810,03/10/2026 11:30 AM GMT,1793419200000,6277388
2026-03-10T11:45:07.611034+00:00,Nov26,45.055,-12.132381621031287,8345,03/10/2026 11:25 AM GMT,1796014800000,6277389
2026-03-10T11:45:07.611034+00:00,Dec26,44.725,-12.08326780940399,7830,03/10/2026 11:25 AM GMT,1798693200000,6277390
2026-03-10T11:45:07.611034+00:00,Jan27,43.725,-13.410697665207831,7625,03/10/2026 11:04 AM GMT,1801371600000,6277391
2026-03-10T11:45:07.611034+00:00,Feb27,43.15,-13.295959169730956,7405,03/10/2026 11:10 AM GMT,1803790800000,6277392
2026-03-10T11:45:07.611034+00:00,Mar27,40.66,-12.7355453491866,7965,03/10/2026 11:31 AM GMT,1806465600000,6277393
2026-03-10T11:45:07.611034+00:00,Cal 27,35.0,0.0,1395,03/10/2026 11:25 AM GMT,1830229200000,6277413
2026-03-10T11:45:07.611034+00:00,Mar28,29.955,-5.597050203271259,1895,03/10/2026 09:47 AM GMT,1838088000000,6341889
2026-03-10T11:45:07.611034+00:00,Cal 28,25.345,0.0,315,03/10/2026 11:32 AM GMT,1861851600000,6560239
2026-03-10T11:45:07.611034+00:00,Cal 29,22.38,0.0,15,03/10/2026 08:33 AM GMT,1893387600000,6709888
