snapshot_utc,marketStrip,lastPrice,change,volume,lastTime,endDate,marketId
2026-06-24T21:20:43.217959+00:00,Jul26,40.865,-2.734802684819348,55735,06/24/2026 08:57 PM GMT,1785470400000,6243134
2026-06-24T21:20:43.217959+00:00,Aug26,41.03,-2.677957257050684,40350,06/24/2026 08:55 PM GMT,1788148800000,6277386
2026-06-24T21:20:43.217959+00:00,Sep26,41.24,-2.7014273917659457,18550,06/24/2026 08:54 PM GMT,1790740800000,6277387
2026-06-24T21:20:43.217959+00:00,Oct26,41.285,-2.4663941978312836,13033,06/24/2026 08:59 PM GMT,1793419200000,6277388
2026-06-24T21:20:43.217959+00:00,Nov26,41.07,-2.4372862029646436,12415,06/24/2026 08:59 PM GMT,1796014800000,6277389
2026-06-24T21:20:43.217959+00:00,Dec26,41.005,-2.4897745648244958,13175,06/24/2026 08:29 PM GMT,1798693200000,6277390
2026-06-24T21:20:43.217959+00:00,Jan27,40.94,-2.0386676875957215,9605,06/24/2026 06:02 PM GMT,1801371600000,6277391
2026-06-24T21:20:43.217959+00:00,Feb27,40.18,-2.5419617735519595,7815,06/24/2026 08:20 PM GMT,1803790800000,6277392
2026-06-24T21:20:43.217959+00:00,Mar27,38.64,-2.342861475471983,7535,06/24/2026 03:07 PM GMT,1806465600000,6277393
2026-06-24T21:20:43.217959+00:00,Apr27,34.3,-1.368760064412256,3740,06/24/2026 03:50 PM GMT,1809057600000,6277394
2026-06-24T21:20:43.217959+00:00,May27,32.625,-1.1243787125712275,3020,06/24/2026 03:51 PM GMT,1811736000000,6277395
2026-06-24T21:20:43.217959+00:00,Jun27,32.065,-1.4324797885094251,3275,06/24/2026 03:59 PM GMT,1814328000000,6277396
2026-06-24T21:20:43.217959+00:00,Jul27,32.45,0.012328176046369009,3090,06/24/2026 10:14 AM GMT,1817006400000,6277397
2026-06-24T21:20:43.217959+00:00,Aug27,32.5,-0.0030768284052726668,2725,06/24/2026 09:09 AM GMT,1819684800000,6277398
2026-06-24T21:20:43.217959+00:00,Sep27,32.3,-1.1960478419136928,3165,06/24/2026 12:52 PM GMT,1822276800000,6277399
2026-06-24T21:20:43.217959+00:00,Nov27,32.1,-0.9289836733434212,2505,06/24/2026 02:25 PM GMT,1827550800000,6277401
2026-06-24T21:20:43.217959+00:00,Cal 27,34.255,0.0,400,06/24/2026 03:29 PM GMT,1830229200000,6277413
2026-06-24T21:20:43.217959+00:00,Dec27,32.75,-0.24671804087601068,2440,06/24/2026 10:45 AM GMT,1830229200000,6277402
2026-06-24T21:20:43.217959+00:00,Cal 28,27.475,0.0,360,06/24/2026 03:36 PM GMT,1861851600000,6560239
2026-06-24T21:20:43.217959+00:00,Cal 29,23.83,0.0,180,06/24/2026 03:46 PM GMT,1893387600000,6709888
2026-06-24T21:20:43.217959+00:00,Cal 30,21.99,0.0,45,06/24/2026 02:48 PM GMT,1924923600000,6709889
2026-06-24T21:20:43.217959+00:00,Cal 31,22.0,0.0,5,06/24/2026 11:59 AM GMT,1956459600000,6709890
